atype,date,lead_par,url,word_count
News,2018-01-08,"LONDON — The journalist who resigned as the BBC’s China editor to protest the broadcaster’s gender pay gap said on Monday that she was offered a raise before quitting, but one that still did not bring her to the level of her male peers.",https://www.nytimes.com/2018/01/08/business/media/bbc-carrie-gracie-china-editor.html,668
News,2018-01-08,A pair of investors who say they hold about $2 billion in Apple stock are pushing the company to do more to protect its youngest users from the effects of digital technology.,https://www.nytimes.com/2018/01/08/business/apple-investors-children.html,363
News,2018-01-08,"In Indiana, Missouri and Pennsylvania, President Trump used the same promise to sell the tax bill: It would bring jobs streaming back to struggling cities and towns.",https://www.nytimes.com/2018/01/08/business/economy/gop-says-tax-bill-will-add-jobs-in-us-it-may-yield-more-hiring-abroad.html,884
News,2018-01-09,"The tech backlash has caught up to Apple. The activist hedge fund Jana Partners and the California State Teachers’ Retirement System want Apple to give parents better controls over their children’s iPhones. It’s an unusual issue for an activist, and apps from Facebook and Snap would make better targets.",https://www.nytimes.com/2018/01/08/business/dealbook/tech-backlash-catches-up-to-apple.html,402
News,2018-01-09,"PASADENA, Calif. — Whether the reboot of the sitcom “Roseanne” will be a success for ABC remains an open question, but it will not be lacking in controversy.",https://www.nytimes.com/2018/01/08/business/media/roseanne-trump-abc.html,532
News,2018-01-09,Good Tuesday. Here’s what we’re watching:,https://www.nytimes.com/2018/01/09/business/dealbook/jana-apple-tech.html,2558
News,2018-01-09,"SHANGHAI — With an advanced screen, a special artificial-intelligence microchip and an eye-popping price, the newest smartphone from Huawei Technologies was meant to show Americans what China can do with technology.",https://www.nytimes.com/2018/01/09/business/att-huawei-mate-smartphone.html,855
News,2018-01-09,"PHNOM PENH, Cambodia — To sell real estate in Cambodia, agents are brushing up on their Mandarin.",https://www.nytimes.com/2018/01/09/business/cambodia-real-estate.html,1120
News,2018-01-09,"The journalist John Dickerson is a Washington creature to his core: a presidential historian, repository of political trivia and scion of a glamorous Beltway family whose party guests regularly included Kennedys, Johnsons and Reagans.",https://www.nytimes.com/2018/01/09/business/media/john-dickerson-charlie-rose-cbs-this-morning.html,695
News,2018-01-09,"FUJI, Japan — At a factory near the base of Mount Fuji, workers painstakingly assemble transmissions for some of the world’s top-selling cars. The expensive, complex components, and the workers’ jobs, could be obsolete in a couple of decades.",https://www.nytimes.com/2018/01/09/business/japan-electric-cars.html,1120
News,2018-01-09,"With labor unions seeing their influence wane, more than 200 organizations have sprouted nationwide to help low-wage workers. But nearly all these groups say they are hampered by a lack of dependable funding because, unlike unions, they cannot rely on a steady flow of dues.",https://www.nytimes.com/2018/01/09/business/economy/fast-food-labor.html,907
News,2018-01-09,"GoPro’s genius discount grows larger. The wearable-camera maker styled itself a media company when it went public in 2014, but even its hardware business is suffering job cuts as sales fall short. Success is even harder than usual when — as at Snap, which fancied itself a camera company — the boss wastes time and resources chasing whims.",https://www.nytimes.com/2018/01/09/business/dealbook/gopro-needs-to-know-its-limits.html,300
News,2018-01-09,"LOS ANGELES — Ending a power struggle in its senior ranks, Warner Bros. on Tuesday gave control of worldwide film production, marketing and distribution to Toby Emmerich, who rose through the studio by finding hits like “It” and shepherding “The Lord of the Rings” movies.",https://www.nytimes.com/2018/01/09/business/media/warner-bros-emmerich-kroll.html,482
News,2018-01-10,"What do you get when you cross the feverish world of cryptocurrencies and a faded industrial giant desperate for a new lease on life? The answer, provided Tuesday by Eastman Kodak, is KodakCoin.",https://www.nytimes.com/2018/01/09/business/dealbook/kodak-bitcoin.html,364
News,2018-01-10,The newly passed tax law could save Americans billions of dollars on their utility bills.,https://www.nytimes.com/2018/01/09/business/economy/tax-cut-power.html,794
News,2018-01-10,"Toyota Motor and Mazda Motor are expected to announce on Wednesday that they have chosen a location in northern Alabama, near Huntsville, for the $1.6 billion car plant the Japanese automakers are planning to build together, according to a person familiar with the companies’ plans.",https://www.nytimes.com/2018/01/09/business/toyota-mazda-alabama.html,328
News,2018-01-10,Good Wednesday morning. Here’s what we’re watching:,https://www.nytimes.com/2018/01/10/business/dealbook/buffett-berkshire-abel-jain.html,2298
News,2018-01-10,"Go to the gym and you will see them everywhere: the talking heads on CNN and Fox News, as ubiquitous as sports coverage in bars. But one fitness chain has cut them off, implying that cable news coverage is not conducive to a “healthy way of life.”",https://www.nytimes.com/2018/01/10/business/life-time-fitness-cable-news.html,831
News,2018-01-10,"When Treasury Secretary Steven Mnuchin was asked at his confirmation hearing what he thought about using private companies to collect money owed to the government, he replied that it “seems like a very obvious thing to do.”",https://www.nytimes.com/2018/01/10/business/economy/irs-debt-collection.html,803
News,2018-01-10,"President Trump on Wednesday repeated a pledge to make it easier for people to sue news organizations and publishers for defamation, denouncing the country’s libel laws as a “sham” a day after his personal lawyer filed a lawsuit against a major media outlet, BuzzFeed News.",https://www.nytimes.com/2018/01/10/business/media/trump-libel-laws.html,870
News,2018-01-10,"WASHINGTON — The Federal Reserve’s economic stimulus campaign continued to generate large profits in 2017, helping to reduce the federal deficit, but the windfall is showing signs of tapering.",https://www.nytimes.com/2018/01/10/business/fed-profits-treasury-2017.html,620
News,2018-01-10,It started with a tweet on Tuesday afternoon.,https://www.nytimes.com/2018/01/10/business/media/a-feminist-twitter-campaign-targets-harpers-magazine-and-katie-roiphe.html,1390
News,2018-01-10,"Five months after announcing that they would reward some American city with a $1.6 billion car plant and 4,000 jobs, Toyota Motor and Mazda Motor said on Wednesday that they had a winner: Huntsville, Ala.",https://www.nytimes.com/2018/01/10/business/toyota-mazda-plant-alabama.html,895
